np_ave=174762
used mem size for tree=347881952
used mem size for tree(0)=0.347881952
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +0.000000e+00 +0.000000e+00 +8.783102e-03 +4.402518e-02 +3.766394e-02 +3.059530e-01 +4.354000e-03 +6.356001e-03 +2.290964e-03 +0.000000e+00 +4.280090e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.660078e-03 +4.391503e-02 +3.759789e-02 +3.059170e-01 +4.266024e-03 +6.274939e-03 +2.388000e-03 +0.000000e+00 +4.186869e-03 +0.000000e+00
 +1.637936e-04 +5.722046e-05 +9.313822e-03 +4.452300e-02 +3.845620e-02 +3.100929e-01 +4.620075e-03 +6.754875e-03 +2.100945e-03 +0.000000e+00 +3.719091e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.807898e-03 +4.452300e-02 +3.847003e-02 +3.103061e-01 +4.606009e-03 +6.736040e-03 +2.103090e-03 +0.000000e+00 +3.745079e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.858919e-03 +4.445791e-02 +3.847504e-02 +3.101270e-01 +4.594088e-03 +6.731033e-03 +2.070904e-03 +0.000000e+00 +3.744125e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.703947e-03 +4.453397e-02 +3.853393e-02 +3.100312e-01 +4.580975e-03 +6.740093e-03 +2.120018e-03 +0.000000e+00 +3.702164e-03 +0.000000e+00
 +1.883507e-05 +5.006790e-05 +8.551121e-03 +4.445791e-02 +3.831100e-02 +3.100581e-01 +4.517794e-03 +6.752968e-03 +2.152205e-03 +0.000000e+00 +3.970861e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.832932e-03 +4.442906e-02 +3.836799e-02 +3.096359e-01 +4.441023e-03 +6.748199e-03 +2.130032e-03 +0.000000e+00 +4.069090e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.708954e-03 +4.440808e-02 +3.834176e-02 +3.095782e-01 +4.532099e-03 +6.752968e-03 +2.212048e-03 +0.000000e+00 +3.901005e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.569002e-03 +4.438305e-02 +3.844786e-02 +3.096321e-01 +4.455805e-03 +6.668091e-03 +2.152205e-03 +0.000000e+00 +3.984928e-03 +0.000000e+00
