np_ave=17476
used mem size for tree=56109088
used mem size for tree(0)=0.056109088
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +3.638268e-04 +5.541801e-03 +1.572490e-02 +2.641606e-02 +3.402901e-02 +1.735580e-01 +2.073050e-03 +3.628969e-03 +2.756119e-03 +0.000000e+00 +1.329708e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.308918e-02 +2.630186e-02 +3.401279e-02 +1.730938e-01 +1.641989e-03 +4.018068e-03 +2.794027e-03 +0.000000e+00 +1.351309e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.352692e-02 +2.620482e-02 +3.465295e-02 +1.731951e-01 +1.633883e-03 +3.633022e-03 +3.136873e-03 +0.000000e+00 +1.391387e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.285887e-02 +2.601194e-02 +3.351617e-02 +1.735742e-01 +1.984119e-03 +3.630877e-03 +2.740860e-03 +0.000000e+00 +1.352000e-02 +0.000000e+00
 +3.950596e-04 +5.405903e-03 +1.632404e-02 +2.660894e-02 +3.522110e-02 +1.758373e-01 +1.655102e-03 +3.741980e-03 +2.730131e-03 +0.000000e+00 +1.375198e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.290298e-02 +2.631307e-02 +3.553891e-02 +1.753762e-01 +1.657009e-03 +3.741026e-03 +3.083944e-03 +0.000000e+00 +1.346302e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.296687e-02 +2.660203e-02 +3.478217e-02 +1.750131e-01 +1.657963e-03 +4.224062e-03 +2.754927e-03 +0.000000e+00 +1.311183e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.297188e-02 +2.631307e-02 +3.516388e-02 +1.755331e-01 +1.665115e-03 +3.736019e-03 +3.098965e-03 +0.000000e+00 +1.331401e-02 +0.000000e+00
 +3.981590e-04 +5.601883e-03 +1.798892e-02 +2.758169e-02 +3.521013e-02 +1.779318e-01 +1.734972e-03 +3.814936e-03 +2.890110e-03 +0.000000e+00 +1.230311e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.372480e-02 +2.705908e-02 +3.545594e-02 +1.775141e-01 +1.703978e-03 +3.830910e-03 +2.840996e-03 +0.000000e+00 +1.303291e-02 +0.000000e+00
